epi_sunday,RA,cases,incidencia_100k,populacao,prediction,config,modelo
2025-03-02,ARAPOANGA,0.0,0.0,49656,2.17455969647511,lag-only,RF
2025-03-09,ARAPOANGA,2.0,4.0277106492669565,49656,1.3785905670328176,lag-only,RF
2025-03-16,ARAPOANGA,3.0,6.041565973900435,49656,1.6160655635374788,lag-only,RF
2025-03-23,ARAPOANGA,1.0,2.0138553246334783,49656,2.405941768606784,lag-only,RF
2025-03-30,ARAPOANGA,2.0,4.0277106492669565,49656,0.9995389967038348,lag-only,RF
2025-04-06,ARAPOANGA,0.0,0.0,49656,1.4855663818993103,lag-only,RF
2025-04-13,ARAPOANGA,1.0,2.0138553246334783,49656,1.1261919631618063,lag-only,RF
2025-04-20,ARAPOANGA,4.0,8.055421298533913,49656,0.8375336216544278,lag-only,RF
2025-04-27,ARAPOANGA,3.0,6.041565973900435,49656,2.952485492945038,lag-only,RF
2025-05-04,ARAPOANGA,3.0,6.041565973900435,49656,4.525038499519843,lag-only,RF
2025-05-11,ARAPOANGA,5.0,10.069276623167392,49656,5.088351586373044,lag-only,RF
2025-05-18,ARAPOANGA,1.0,2.0138553246334783,49656,2.7964734301630774,lag-only,RF
2025-05-25,ARAPOANGA,2.0,4.0277106492669565,49656,2.141837730668105,lag-only,RF
2025-06-01,ARAPOANGA,1.0,2.0138553246334783,49656,4.411141394549413,lag-only,RF
2025-06-08,ARAPOANGA,0.0,0.0,49656,1.8113296232001361,lag-only,RF
2025-06-15,ARAPOANGA,0.0,0.0,49656,0.4839224060895074,lag-only,RF
2025-06-22,ARAPOANGA,0.0,0.0,49656,0.6228062609559262,lag-only,RF
2025-06-29,ARAPOANGA,0.0,0.0,49656,0.23076779192561994,lag-only,RF
2025-07-06,ARAPOANGA,1.0,2.0138553246334783,49656,0.008902488912592509,lag-only,RF
2025-07-13,ARAPOANGA,0.0,0.0,49656,0.32679582129713475,lag-only,RF
2025-07-20,ARAPOANGA,0.0,0.0,49656,0.24004312230502786,lag-only,RF
2025-07-27,ARAPOANGA,0.0,0.0,49656,0.305931362906529,lag-only,RF
2025-08-03,ARAPOANGA,0.0,0.0,49656,0.23076779192561994,lag-only,RF
2025-08-10,ARAPOANGA,1.0,2.0138553246334783,49656,0.008902488912592509,lag-only,RF
2025-08-17,ARAPOANGA,0.0,0.0,49656,0.32679582129713475,lag-only,RF
2025-08-24,ARAPOANGA,2.0,4.0277106492669565,49656,0.24004312230502786,lag-only,RF
