RA,r2_ra,mae_ra,rmse_ra,config,modelo
SUDOESTE/OCTOGONAL,0.018383028446542604,1.1790012726658157,1.4312737647540168,lag-only,RF
SÃO SEBASTIÃO,,0.008902488912592507,0.00890248891259251,lag-only,RF
TAGUATINGA,0.02916358862665802,2.607843398242911,3.332742532703667,lag-only,RF
VARJÃO,,0.008902488912592507,0.00890248891259251,lag-only,RF
VICENTE PIRES,-0.04543211163273719,2.261828000491623,3.0155270807202084,lag-only,RF
ÁGUAS CLARAS,,0.008902488912592507,0.00890248891259251,lag-only,RF
AGUA QUENTE,-0.41127951960765285,0.05165103156692707,0.16315044548643576,lag-only,XGB
ARAPOANGA,0.03812030759836316,1.0240933902991505,1.2884748168716533,lag-only,XGB
ARNIQUEIRA,-0.38713836826077164,0.575628781153892,0.7907849610522667,lag-only,XGB
BRAZLÂNDIA,,0.010148445144295692,0.010148445144295692,lag-only,XGB
CANDANGOLÂNDIA,,0.010148445144295692,0.010148445144295692,lag-only,XGB
CEILÂNDIA,,0.010148445144295692,0.010148445144295692,lag-only,XGB
CRUZEIRO,0.034794473935910175,1.1377859660066092,1.4566189531755898,lag-only,XGB
FERCAL,0.312643508279001,0.7579698995687068,1.186597306800788,lag-only,XGB
GAMA,0.19577251709079646,2.2706951269736657,3.0468207916775145,lag-only,XGB
GUARÁ,,0.010148445144295692,0.010148445144295692,lag-only,XGB
ITAPOÃ,,0.010148445144295692,0.010148445144295692,lag-only,XGB
JARDIM BOTÂNICO,,0.010148445144295692,0.010148445144295692,lag-only,XGB
LAGO NORTE,0.03163704827107516,1.396958731687986,1.6988550168678485,lag-only,XGB
LAGO SUL,0.19293985863495977,1.1018091822401261,1.4232740481252244,lag-only,XGB
NÚCLEO BANDEIRANTE,,0.010148445144295692,0.010148445144295692,lag-only,XGB
PARANOÁ,,0.010148445144295692,0.010148445144295692,lag-only,XGB
PARK WAY,-0.011290264938756067,0.44917597557203126,0.5926078032085205,lag-only,XGB
PLANALTINA,0.3380667981087623,1.818463112299259,2.5937959511561535,lag-only,XGB
PLANO PILOTO,0.6832117508444175,2.521309740268267,3.192481096732105,lag-only,XGB
RECANTO DAS EMAS,-0.16026195497995865,1.2660260028564012,1.5271245417029125,lag-only,XGB
RIACHO FUNDO,0.4319276940024719,0.5762120950608872,0.804403262613044,lag-only,XGB
RIACHO FUNDO II,0.04635903247777362,0.9658714164263353,1.2483923738307305,lag-only,XGB
SAMAMBAIA,-0.1349186030123859,1.4493904297168438,2.000188981817961,lag-only,XGB
