feature,spearman
precip_sum_lag_2,0.03831507917389189
precip_sum_lag_3,0.04312066345282714
precip_sum_lag_4,0.05151181014391803
precip_sum_lag_5,0.057022252911773284
precip_sum_lag_6,0.06126348104859923
precip_sum_lag_7,0.067369962407192
precip_sum_lag_8,0.07383275640638085
temp_mean_lag_2,-0.04157259745560757
temp_mean_lag_3,-0.02549626192390255
temp_mean_lag_4,-0.01384685583097874
temp_mean_lag_5,0.00041101071680007737
temp_mean_lag_6,0.010016194434061473
temp_mean_lag_7,0.021498252186895123
temp_mean_lag_8,0.03340562352825075
umidmed_lag_2,-0.10479065210230559
umidmed_lag_3,-0.10152471565953784
umidmed_lag_4,-0.0969135913602126
umidmed_lag_5,-0.09696415860690184
umidmed_lag_6,-0.09493945351801023
umidmed_lag_7,-0.09488863057432159
umidmed_lag_8,-0.0939106261866139
