config,modelo,n_features,r2_df,mae_df,rmse_df,mape_df,smape_df,hit_rate_picos,r2_media_ras,mae_media_ras,rmse_media_ras,delta_r2_df_vs_prev,rmse_improved_pct_vs_prev,passes_acceptance_vs_prev
lag-only,RF,7,0.6627074159543782,10.433351703704572,13.68693178172258,32.18025829670633,22.07265648588487,0.6428571428571429,-0.10344083284749182,0.9127922589188963,1.2100334556501864,,,False
lag-only,XGB,7,0.6190437659764081,11.46854675733126,14.545888317968517,32.7362993959038,23.952212724777514,0.5,0.06082515407755376,0.8370039388322486,1.109582379192057,,,False
lag+clima,RF,32,0.664159915956803,10.772947060235275,13.657429624773776,37.0168374214545,23.61438247204116,0.6428571428571429,-0.031658658164776074,0.8681465724213567,1.1498889175105507,0.0014525000024248058,0.45714285714285713,False
lag+clima,XGB,32,0.5848256846365307,11.69366770524245,15.185110111144912,42.03643103135544,25.594527816093812,0.6428571428571429,0.02310604741085334,0.8655091218240649,1.140393451292918,-0.03421808133987736,0.2,False
lag+clima+RA,RF,67,0.6618248419818041,10.683145991048974,13.704826983937528,37.07467434676028,23.191703700297047,0.8571428571428571,-0.00042220198221354366,0.869557156655314,1.141246169075027,-0.0023350739749988803,0.7428571428571429,True
lag+clima+RA,XGB,67,0.5824275985104101,11.693135261535645,15.228902281617575,43.854676773511024,25.298148011242592,0.6428571428571429,0.02951482357859135,0.8710839371819619,1.1463215766154708,-0.00239808612612058,0.3142857142857143,False
lag+clima+RA+incid-target,RF,68,0.5343040552115415,12.459437219624508,16.082513863689943,44.88277117605874,23.97144031636116,0.9285714285714286,0.00796729215200185,0.8942593951978893,1.1497225793996615,-0.12752078677026268,0.5714285714285714,False
lag+clima+RA+incid-target,XGB,68,0.5106157560901372,11.839338047996465,16.486470801571272,45.612233351557734,23.61158345771727,0.7142857142857143,0.03184274734023254,0.8828085902578514,1.1519283008062136,-0.07181184242027294,0.4857142857142857,False
